time,who,true_type,notes
:14.3,user,dink,no label on shot
:15.6,opponent,dink,#9 is mislabeled. Says partner at 15.6 but it was opponent 
:16.87,user,dink,no label on shot
:18.37,opponent,dink,no label on shot
:19.45,user,dink,no label on shot.  It was a backhand dink that went into the net. End of rally.
,,,from :19.45 until :24 ball was bouncing and rolling along net.
,,,at :24 partner hit ball at side of net to feed it back to opponent
:25.0,,,says opponent. Green circle flashed on screen when opponent picked up feed. alsot red circle then appeared  around an object (lawn mower) off the court. 
:26,,,#11 is mislabeled. says user at :26.  not a shot. Red circle around object (lawn mower) off side of court. 
:38,user,dink,no label on shot
:38.78,opponent,dink,no label on shot. It was a dink by opponent that went into the net
,,,from :39 to :41.7 ball was rolling at net and in kitchen. 
:41.7,,,#15 is mislabeled. Says opponent took shot. It was opponent picking up the ball. Was also a red circle around lawnmower on the side.
:42.5,,,#16 is mislabeled. Circle around lawnmower.  No shot.
:48.6,,,#18 is mislabeled. No shot. Ball was rolling along back fence.
:52,,,#19 is mislabeled. No shot. Ball still rolling along back fence.
:55.1,,,#20 is mislabeled. No shot. Ball was being thrown by opponent back to near side between points.
01:08.7,,,no label on shot. Ball was hit by opponent at the kitchen into the net
01:12.3,,,#24 is mislabeled. Not a shot. Ball was being fed by opponent to near side. 
01:38.4,,,no label on shot. Was a drive at the kitchen by opponent
01:39.2,,,no label on shot. Was a lob near baseline by partner
01:46.9,,,was a shot by partner. Label says user
01:54.3,,,#44 is mislabeled.  Not a shot. Was a feed being thrown over net by opponent to near side.
02:00.5,,,#45 is mislabeled. Not a shot. Was being thrown by partner to user.
02:19.2,,,Missed shot. Was a dink by opponent that went into the net
02:27.7,,,#55 is mislabeled. Not a shot by user. Ball was roling on side of court between rallies
02:26.5,,,#56 is mislabeled. Not a shot. It was being fed back to near side by opponent hitting it over the net.
02:31.9,,,Missed shot. Was a serve by user
02:36.2,,,Missed shot. It was a drive from baseline by user into the net.
02:39.4,,,#58 is mislabeled. Not a shot. Was being fed by partner to far side
02:53.1,,,no label on shot. Was a backhand dink by partner
03:01.9,,,#68 is mislabeled. Was not a shot by user. It was opponent picking up ball on side of court between points
03:06.4,,,#69 is mislabeled. Was not a shot. Ball was being thrown by one opponent to the other to get ready for a serve
03:14.6,,,no label on shot. Was a return by partner
03:15.9,,,#71  is mislabeled. Was not a shot. Red circle was around ball on adjacent court.
03:17.5,,,"#73 at 3:18.3 was hit by partner, not the user. And shot looked closer to 3:17.5. It was a backhand at the kitchen line by partner"
03:20.1,,,"#75 was by partner, not the user"
03:25.0,,,#81 is mislabeled. Was not a shot. #80 was a shot by opponent into the net. Which was then rolling around the net. 
03:31.1,,,#82 is mislabeled. Was not a shot. Ball was being passed from one opponent to the other for a serve
03:33.0,,,#83 is mislabeled. Not a shot. Opponent was getting ready to serve but did not hit the ball. 
03:35.3,,,#84 is mislabeled. Not a shot. User was walking back to get in position. Did not hit a ball
03:45.1,,,"#88 is mislabeled. It was a shot by partner, not the user"
03:47.8,,,shot is missed. Was backhand drive at net by user into the net
03:53.1,,,#94 is mislabeled. Ball being fed by partner to opponents between rallies
03:56.3,,,#95 is mislabeled.  Not a shot. Looks like ball is tagged on adjacent court
04:04.6,,,either #96 or #97 is mislabeled.  Opponent is serving once yet 2 shots were labeled.
04:10.8,,,shot is missed. It was a backhand dink by partner
04:18.2,,,"#102 is mislabeld. Not a shot. Looks like it picked up a ball and person that came from adjacent court onto this one to pick up a ball.  Confusing, but should not be registered as a shot"
04:22.1,,,#103 is mislabeled. Not a shot. It was ball landing on adjacent court
04:34.7,,,#104 is mislabeled. Not a shot. Opponent was throwing it to other opponent to get ready for a serve.
,,,"#105, #106, #107 are all one shot. It is a serve by the opponent. "
04:44.1,,,"#108 was a shot by partner, not user"
,,,"#110 was a shot by partner, not user"
04:50.5,,,#112 is mislabeled. Not a shot. It was ball on adjacent court
04:55.9,,,"#113 is mislabeled. Not a shot. User is carrying ball to get ready for serve. However, serve was missed at 5:01.78"
,,,#117 is partner not user
,,,"#124, #125 were not shots. Point had ended after #123 shot by user was a winner hit by opponents"
